filename,eDim,tLag,rescale,radius,perc_recur,perc_determ,maxl_found,mean_line,std_line,count_line,entropy,laminarity,trapping_time,vmax,divergence,trend_lower_diag,trend_upper_diag
P001_T10_PC1, 4, 10, 1, 20.0, 2.831, 98.136, 72.00, 8.05, 8.46, 3506, 4.067, 0.991, 8.896, 64.00, 0.014, -3.671, -0.968
P001_T10_PC2, 4, 10, 1, 20.0, 1.300, 96.433, 43.00, 6.48, 6.67, 1965, 3.614, 0.984, 7.882, 100.00, 0.023, -2.811, -2.476
P001_T10_PC3, 4, 10, 1, 20.0, 0.887, 86.727, 27.00, 3.53, 3.06, 2212, 2.297, 0.917, 4.171, 30.00, 0.037, 1.209, -0.489
P001_T10_PC4, 4, 10, 1, 20.0, 0.642, 86.056, 19.00, 3.40, 1.93, 1652, 2.322, 0.926, 4.661, 49.00, 0.053, 0.447, -0.099
P001_T10_PC5, 4, 10, 1, 20.0, 1.396, 94.740, 57.00, 5.24, 4.49, 2566, 3.281, 0.947, 4.578, 78.00, 0.018, -2.352, -1.006
P001_T10_PC6, 4, 10, 1, 20.0, 0.713, 85.501, 25.00, 3.36, 2.39, 1843, 2.254, 0.926, 4.762, 41.00, 0.040, -0.177, -0.646
P001_T10_PC7, 4, 10, 1, 20.0, 0.707, 85.854, 28.00, 3.41, 2.65, 1810, 2.250, 0.924, 4.219, 26.00, 0.036, 0.479, 1.556
P001_T10_PC8, 4, 10, 1, 20.0, 1.115, 90.988, 27.00, 4.01, 3.39, 2572, 2.656, 0.939, 4.109, 21.00, 0.037, 0.634, -0.192
P001_T10_PC9, 4, 10, 1, 20.0, 5.340, 98.155, 67.00, 7.15, 7.48, 7444, 3.802, 0.990, 8.248, 69.00, 0.015, 3.100, -4.401
P001_T10_PC10, 4, 10, 1, 20.0, 0.857, 93.340, 27.00, 4.09, 3.06, 1988, 2.757, 0.981, 7.204, 112.00, 0.037, -0.241, -1.196
P001_T10_PC11, 4, 10, 1, 20.0, 0.606, 87.078, 32.00, 3.68, 3.51, 1458, 2.362, 0.945, 4.817, 40.00, 0.031, 0.761, 1.222
P001_T10_PC12, 4, 10, 1, 20.0, 1.485, 95.434, 43.00, 5.13, 4.80, 2807, 3.182, 0.984, 6.842, 47.00, 0.023, 1.921, 1.219
P001_T10_PC13, 4, 10, 1, 20.0, 0.638, 88.659, 27.00, 3.56, 3.07, 1614, 2.328, 0.947, 4.348, 22.00, 0.037, 0.495, 2.241
P001_T10_PC14, 4, 10, 1, 20.0, 0.910, 89.899, 24.00, 3.81, 2.84, 2181, 2.589, 0.936, 4.426, 25.00, 0.042, -0.483, -0.964
P001_T10_PC15, 4, 10, 1, 20.0, 0.984, 89.418, 30.00, 3.89, 3.13, 2297, 2.614, 0.930, 4.540, 31.00, 0.033, 3.461, -1.154
P001_T11_PC1, 4, 10, 1, 20.0, 2.684, 98.055, 109.00, 7.52, 8.91, 3628, 3.907, 0.994, 8.769, 35.00, 0.009, -4.147, -0.927
