term,estimate,std.error,statistic,p.value,feature
Conditionuni,0.053320292813943806,0.01702879539965471,3.1311840657281587,0.0018715923104654537,left_ankle_speed_mean
Conditionf2f,0.08558298267705734,0.017028795399654715,5.025780195749646,7.638180897084556e-07,left_ankle_speed_mean
Conditionuni,0.0842560101041059,0.02286931480915989,3.684238500681213,0.00026162062313562953,left_ankle_speed_rms
Conditionf2f,0.13101281375296153,0.022869314809159883,5.7287599058493335,2.018020891053199e-08,left_ankle_speed_rms
Conditionuni,0.5036720512266852,0.16609770002221003,3.032384260343978,0.0025875968811772928,left_ankle_accel_mean
Conditionf2f,0.7286134208921076,0.16609770002221005,4.386655689962472,1.4812688129306629e-05,left_ankle_accel_mean
Conditionuni,0.8655260647251158,0.25188457304346873,3.436201170508956,0.0006530426005564912,left_ankle_accel_rms
Conditionf2f,1.29096540216537,0.2518845730434688,5.12522615643707,4.676015169923693e-07,left_ankle_accel_rms
Conditionuni,0.001777343093798142,0.0005676265133155425,3.131184065762834,0.0018715923102019588,left_ankle_displacement_mean
Conditionf2f,0.002852766089235271,0.0005676265133155425,5.025780195805307,7.638180893334684e-07,left_ankle_displacement_mean
Conditionuni,0.002808533670136802,0.0007623104936389948,3.6842385006795295,0.0002616206231325012,left_ankle_displacement_rms
Conditionf2f,0.004367093791765322,0.0007623104936389948,5.728759905846757,2.0180208906116582e-08,left_ankle_displacement_rms
Conditionuni,0.06885690761829391,0.017482628241297024,3.938590163213667,9.630835198612831e-05,right_ankle_speed_mean
Conditionf2f,0.08926058052850479,0.017482628241297024,5.105672859739458,5.056672143681599e-07,right_ankle_speed_mean
Conditionuni,0.10734445600601025,0.02340658710405194,4.586078932773063,6.008338524677825e-06,right_ankle_speed_rms
Conditionf2f,0.13779129132252074,0.023406587104051937,5.886859571195989,8.196742864129819e-09,right_ankle_speed_rms
Conditionuni,0.6523819123777576,0.16993857280382127,3.8389278055834537,0.00014308507207685245,right_ankle_accel_mean
Conditionf2f,0.8928883734657569,0.16993857280382127,5.254183077649569,2.395518439513939e-07,right_ankle_accel_mean
Conditionuni,1.0783492843368245,0.25525974516193906,4.2245175934525445,2.9530030047013993e-05,right_ankle_accel_rms
Conditionf2f,1.5672399665877192,0.25525974516193906,6.139785047554005,1.9532966147476377e-09,right_ankle_accel_rms
Conditionuni,0.0022952302539430746,0.0005827542748203134,3.938590162467339,9.630835227700481e-05,right_ankle_displacement_mean
Conditionf2f,0.0029753526842834234,0.0005827542748203134,5.105672858771983,5.056672168285808e-07,right_ankle_displacement_mean
Conditionuni,0.0035781485335335994,0.0007802195701344325,4.586078932776681,6.008338524490467e-06,right_ankle_displacement_rms
Conditionf2f,0.004593043044083964,0.0007802195701344324,5.886859571200681,8.196742863862705e-09,right_ankle_displacement_rms
Conditionuni,0.08665251212767737,0.03300310493044191,2.6255866625369997,0.008988592038297015,left_wrist_speed_mean
Conditionf2f,0.13959218252418487,0.03300310493044191,4.229668172688373,2.916236684908096e-05,left_wrist_speed_mean
Conditionuni,0.12174882413321586,0.039782545536604784,3.0603578149918067,0.0023628368694908405,left_wrist_speed_rms
Conditionf2f,0.17715762495406995,0.039782545536604784,4.45314955502441,1.1050256915748076e-05,left_wrist_speed_rms
Conditionuni,0.9932265279515181,0.3611513940685449,2.7501666732124206,0.006232428071952279,left_wrist_accel_mean
Conditionf2f,1.3915723031253837,0.36115139406854496,3.85315500917399,0.00013619693343073076,left_wrist_accel_mean
Conditionuni,1.3434959916666271,0.4700780939202635,2.858027227906766,0.004490259123523194,left_wrist_accel_rms
Conditionf2f,1.732594903457763,0.47007809392026356,3.6857597192173186,0.000260115080925001,left_wrist_accel_rms
Conditionuni,0.0028884170709225798,0.0011001034976842882,2.6255866625301,0.008988592038563031,left_wrist_displacement_mean
Conditionf2f,0.00465307275080616,0.0011001034976842884,4.229668172677254,2.9162366851478604e-05,left_wrist_displacement_mean
Conditionuni,0.00405829413777378,0.0013260848512211807,3.0603578149893877,0.0023628368695108046,left_wrist_displacement_rms
Conditionf2f,0.005905254165135574,0.0013260848512211807,4.453149555020913,1.1050256915827741e-05,left_wrist_displacement_rms
Conditionuni,0.11773132605759802,0.033809607609473345,3.4821855200889726,0.0005533590244861503,right_wrist_speed_mean
Conditionf2f,0.12725755087098692,0.033809607609473345,3.763946400706814,0.00019283949161744366,right_wrist_speed_mean
